2026-09-05 06:41:10 GPU_PRIORITY_V4 start pid=104554 dry_run=0 poll_seconds=5 grace_ticks=3
2026-09-05 06:45:14 GPU_PRIORITY_V4 fill primary=6 snapshot=2 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:0%/23035MiB;1:0%/4MiB;2:100%/94597MiB;3:99%/55367MiB;4:0%/4MiB;5:0%/14855MiB;6:0%/4MiB;7:0%/4MiB;]
2026-09-05 06:45:25 GPU_PRIORITY_V4 drain primary=5 snapshot=3 total=8 free=0 high_wait=1 needed=1 wait_ticks=1 victims=none changed=64 gpu[0:9%/83129MiB;1:0%/15555MiB;2:100%/94597MiB;3:99%/55367MiB;4:0%/15553MiB;5:0%/4MiB;6:15%/15247MiB;7:0%/15275MiB;]
2026-09-05 06:45:35 GPU_PRIORITY_V4 drain primary=5 snapshot=3 total=8 free=0 high_wait=1 needed=1 wait_ticks=2 victims=none changed=0 gpu[0:95%/89243MiB;1:100%/18595MiB;2:100%/94597MiB;3:99%/55367MiB;4:0%/15557MiB;5:0%/15553MiB;6:0%/15253MiB;7:92%/22473MiB;]
2026-09-05 06:45:46 GPU_PRIORITY_V4 drain primary=5 snapshot=3 total=8 free=0 high_wait=1 needed=1 wait_ticks=3 victims=gpu4:pg4170928:000000000756s changed=1 gpu[0:0%/4MiB;1:13%/83149MiB;2:100%/94597MiB;3:99%/55367MiB;4:21%/83089MiB;5:0%/15557MiB;6:38%/82955MiB;7:92%/22473MiB;]
2026-09-05 06:45:56 GPU_PRIORITY_V4 drain primary=6 snapshot=2 total=8 free=0 high_wait=1 needed=1 wait_ticks=4 victims=gpu5:pg4171095:000000000767s changed=1 gpu[0:0%/15251MiB;1:0%/89267MiB;2:100%/94597MiB;3:99%/55367MiB;4:0%/4MiB;5:0%/83067MiB;6:0%/83521MiB;7:79%/22475MiB;]
2026-09-05 06:46:07 GPU_PRIORITY_V4 fill primary=6 snapshot=1 total=7 free=1 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:0%/82791MiB;1:0%/4MiB;2:100%/94597MiB;3:99%/55367MiB;4:0%/4MiB;5:0%/4MiB;6:89%/89243MiB;7:73%/22475MiB;]
2026-09-05 06:46:18 GPU_PRIORITY_V4 fill primary=6 snapshot=2 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:44%/83439MiB;1:0%/15555MiB;2:100%/94597MiB;3:99%/55367MiB;4:0%/4MiB;5:0%/14991MiB;6:90%/89243MiB;7:74%/22475MiB;]
2026-09-05 06:46:39 GPU_PRIORITY_V4 drain primary=6 snapshot=2 total=8 free=0 high_wait=1 needed=1 wait_ticks=1 victims=none changed=65 gpu[0:13%/15247MiB;1:25%/83549MiB;2:99%/94597MiB;3:99%/55367MiB;4:0%/82543MiB;5:76%/29247MiB;6:0%/4MiB;7:74%/22477MiB;]
2026-09-05 06:46:50 GPU_PRIORITY_V4 drain primary=6 snapshot=2 total=8 free=0 high_wait=2 needed=2 wait_ticks=2 victims=none changed=0 gpu[0:0%/15253MiB;1:0%/4MiB;2:100%/94597MiB;3:99%/55367MiB;4:62%/83569MiB;5:46%/29249MiB;6:0%/15251MiB;7:94%/22477MiB;]
2026-09-05 06:47:01 GPU_PRIORITY_V4 drain primary=6 snapshot=2 total=8 free=0 high_wait=2 needed=2 wait_ticks=3 victims=gpu4:pg1529:000000000732s,gpu0:pg4080811:000000001268s changed=2 gpu[0:24%/82995MiB;1:0%/15553MiB;2:100%/94597MiB;3:98%/55367MiB;4:0%/0MiB;5:97%/29249MiB;6:0%/15431MiB;7:77%/22477MiB;]
